,artist,name,uri,playlist_id
0,Jimi Jules,Fool,spotify:track:1p6YDmD7uXO1F5UZVcfhWY,37i9dQZF1DX8AliSIsGeKd
1,Boris Brejcha,Lieblingsmensch - Edit,spotify:track:6CXFxsx3VCNLwRdOn9cXKp,37i9dQZF1DX8AliSIsGeKd
2,Lilly Palmer,Shift,spotify:track:4q1Pi82KM83zz1YeueS79n,37i9dQZF1DX8AliSIsGeKd
3,Christian Löffler,Versailles (Hold) - Edit,spotify:track:4Yf9QLUM8EeHaCS7EnaHnX,37i9dQZF1DX8AliSIsGeKd
4,Ron Flatter,Sidewinder,spotify:track:0hcKU2s5pItCZ3DY0glVQe,37i9dQZF1DX8AliSIsGeKd
5,Steve Bug,River of Oblivion,spotify:track:4FZmLCL61x2fzGrGEuFrjj,37i9dQZF1DX8AliSIsGeKd
6,Dirty Doering,High Rider,spotify:track:5DTPrfcbSGT3mcAdgVYM1s,37i9dQZF1DX8AliSIsGeKd
7,Carlo Ruetz,Wilder,spotify:track:6EjZFq51LDzPNnMmcimZdN,37i9dQZF1DX8AliSIsGeKd
8,Function,"Don't Ask, Don't Tell",spotify:track:3wxUbxzJkFwnhBpB8UkMKx,37i9dQZF1DX8AliSIsGeKd
9,Denis Horvat,Fragmental,spotify:track:1nRYfRmiGQwxY2Q5k8WIHh,37i9dQZF1DX8AliSIsGeKd
10,Shkoon,Amdah,spotify:track:6jBZ5XQKTGp3WsecflNp4s,37i9dQZF1DX8AliSIsGeKd
11,Edu Imbernon,Vapor Trails,spotify:track:3VmR4dvfFS1nWOZbqOF3oB,37i9dQZF1DX8AliSIsGeKd
12,Nic Fanciulli,Transition,spotify:track:0UxU9qQc3Et21BAoVjb5og,37i9dQZF1DX8AliSIsGeKd
13,Brigado Crew,Synchronicity,spotify:track:0sF6AQfF5bWQqNl5CuaXVM,37i9dQZF1DX8AliSIsGeKd
14,Rey&Kjavik,Time,spotify:track:4MsB35qNyldLvPFQrLgvYK,37i9dQZF1DX8AliSIsGeKd
15,Tim Engelhardt,Transmission 27,spotify:track:5sualVjKHi9IV4NHbwHOuZ,37i9dQZF1DX8AliSIsGeKd
16,Tube & Berger,Talking All Crazy,spotify:track:1706OeNGTHPHEXZoaAYI35,37i9dQZF1DX8AliSIsGeKd
17,Deborah de Luca,Abraxas,spotify:track:6KqF5D489C0xpX94TdQJC9,37i9dQZF1DX8AliSIsGeKd
18,Kaiserdisco,Banause - Thomas Hoffknecht Remix - Radio Edit,spotify:track:1t8vQ1taF7dxfq8leyE7ML,37i9dQZF1DX8AliSIsGeKd
19,Ellen Allien,Junge Sein,spotify:track:2xkSrW9JHEqkIqWsEOXSOA,37i9dQZF1DX8AliSIsGeKd
20,Shlomi Aber,Zohar,spotify:track:2FIQ8DNSLverzkGv9UOOrk,37i9dQZF1DX8AliSIsGeKd
21,Christian Burkhardt,Saturday,spotify:track:3gTwkxAyCM4ds7doNj7DyJ,37i9dQZF1DX8AliSIsGeKd
22,Einmusik,Dune Suave,spotify:track:3RkZM4hPoN6AupH4Ir1RAO,37i9dQZF1DX8AliSIsGeKd
23,Stereo Express,Mama Africa - Mollono.Bass Remix,spotify:track:0OFFWBRpLi4Ml31Mr1p4bt,37i9dQZF1DX8AliSIsGeKd
24,Dompe,Summer In The City,spotify:track:0Tptamf3lfUKIec6MchM78,37i9dQZF1DX8AliSIsGeKd
25,Thomas Lizzara,Mythos,spotify:track:2IkDXUJh0ohcOcExZFTAkp,37i9dQZF1DX8AliSIsGeKd
26,Beico & MT93,Tenebrous,spotify:track:6AjJ0GijsnB8woz1O4wfkq,37i9dQZF1DX8AliSIsGeKd
27,Digitalism,Panavision,spotify:track:6qVrF4ChAlR1S7SfCFVP7P,37i9dQZF1DX8AliSIsGeKd
28,Matthias Tanzmann,Panthera,spotify:track:1tnUHxZwUv7NCfIo5JgPgH,37i9dQZF1DX8AliSIsGeKd
29,Ben Böhmer,Decade,spotify:track:7dRoKrWenRRyhCbSicZwoA,37i9dQZF1DX8AliSIsGeKd
30,Simina Grigoriu,Mama Ayahuasca,spotify:track:0pMotws9HteiyJnORF5Du3,37i9dQZF1DX8AliSIsGeKd
31,Dapayk solo,Modular Romance 5 - Studio Edit,spotify:track:2Id7XDy886gW8UvWo0PCpo,37i9dQZF1DX8AliSIsGeKd
32,Bondi,Away From Heaven,spotify:track:6Lwht7ezPHLfiPKtGpREtv,37i9dQZF1DX8AliSIsGeKd
33,Maksim Dark,Deep Passion,spotify:track:7ingQeqgZZ1MqUSSTJChUo,37i9dQZF1DX8AliSIsGeKd
34,Hernan Cattaneo,A Major Minor,spotify:track:7pM5IZKIsQpJfijJpZJ1m6,37i9dQZF1DX8AliSIsGeKd
35,Alexander Kowalski,Inheritance,spotify:track:7HMyyQTFb56dlfulTTceqy,37i9dQZF1DX8AliSIsGeKd
36,Kolombo,Pause,spotify:track:4SEZlUmrn1RzQAMmWqdZ06,37i9dQZF1DX8AliSIsGeKd
37,Soul Button,Deception,spotify:track:4Mj79YCTQPWu5AbbXr7QYs,37i9dQZF1DX8AliSIsGeKd
38,Just Her,The Mirror,spotify:track:5PITyaqrRlxmJ9QLrbMRB5,37i9dQZF1DX8AliSIsGeKd
39,Microtrauma,Der Gärtner,spotify:track:4mLGCIEchoc07rhkNz2TK7,37i9dQZF1DX8AliSIsGeKd
40,Carbon,Never Mind,spotify:track:59i4QLEOF3Xv4y9IYZAVlP,37i9dQZF1DX8AliSIsGeKd
41,Get Real,Jolean,spotify:track:2ng0DafMn7xw3JnzF1Zzmi,37i9dQZF1DX8AliSIsGeKd
42,Damian Rausch,Between,spotify:track:2Obr9kQNR3kOK25T9q0rET,37i9dQZF1DX8AliSIsGeKd
43,Enui,Nevertheless,spotify:track:3nAM2Zg3Vyro2nq7zgZmhb,37i9dQZF1DX8AliSIsGeKd
44,Mat.Joe,Gotta Get U,spotify:track:7F263voDKs6Pq6QPudWLRl,37i9dQZF1DX8AliSIsGeKd
45,Sian,Deathgrip,spotify:track:4tABwzZLdl0gCy0gvFLgTA,37i9dQZF1DX8AliSIsGeKd
46,Mark Tarmonea,Pull Revisited,spotify:track:6dVXHINWFJq63dQF8ykWVi,37i9dQZF1DX8AliSIsGeKd
47,Marius Drescher,Panem,spotify:track:1YJh90YQjqpSh8R4zFoaZi,37i9dQZF1DX8AliSIsGeKd
48,Stereo Express,Saha,spotify:track:4YTphPjdWVfNJe1OkY1maV,37i9dQZF1DX8AliSIsGeKd
49,Carlo Whale,Million Faces,spotify:track:0Z34JssoQzr31PHVhdx1Db,37i9dQZF1DX8AliSIsGeKd
50,Nora Van Elken,New Guinea,spotify:track:2aOeoucXlw56zHNrbBwHWa,37i9dQZF1DX8AliSIsGeKd
51,ArtLec,Escape,spotify:track:3NA4XLKopNrdwKOCDPtdGe,37i9dQZF1DX8AliSIsGeKd
52,Hani,Irieheaven - Olivier Giacomotto Remix,spotify:track:22VHnAcfXxX2QMiLY9S40f,37i9dQZF1DX8AliSIsGeKd
53,Tocadisco,Viva Africa,spotify:track:6RuMccarlUXFWrueGMRsIE,37i9dQZF1DX8AliSIsGeKd
54,Phil Kieran,I Love You - Moonwalk Remix,spotify:track:3jH9UhX0OjoHxfrVKbT8wz,37i9dQZF1DX8AliSIsGeKd
55,Flynninho,I Love Acid - Radio Mix,spotify:track:0swy2AbdRp8NWH1EjdY1h7,37i9dQZF1DX8AliSIsGeKd
56,Giolì & Assia,Emptiness,spotify:track:4Rzjq1BbE2ZDaiUDLFE8Tl,37i9dQZF1DX8AliSIsGeKd
57,Alex Banks,Falling Down - Edit,spotify:track:3Qg1KKWErDpQx13Eg2gZ4S,37i9dQZF1DX8AliSIsGeKd
58,DJ T.,Ready to Shine - Edit,spotify:track:3MA0pbz28M1fpz6e8RSYVD,37i9dQZF1DX8AliSIsGeKd
59,Skream,Ectogazm,spotify:track:5MYARoapSdgdS3RIYpoUUy,37i9dQZF1DX8AliSIsGeKd
